ts,question,top_k,retrieval_ms,llm_ms,total_ms,compliance_status,confidence_score,num_citations,det_hash,error
2025-10-26T18:56:18.116083,"According to the Australian Code of GMP (2013), what must be recorded in collection documentation and records?",6,344,6187,6532,Compliant,0.9,1,c05bf435157d77f152db763490ae5425d4c623281e7cd3b9233efea050793682,
2025-10-26T19:07:12.877088,"According to the Australian Code of GMP (2013), what must be recorded in collection documentation and records?",6,303,7398,7701,Compliant,0.9,1,395a98b1929e7a3c320033fd792a57410d6922eeab55fbda48b4b25271875ed7,
2025-10-26T19:37:40.586546,"Before manufacturing blood components, what infectious disease testing is mandatory according to TGO 102?",6,373,8152,8526,Unclear,0.0,1,871a2e1cc6b6cb08aeaffb8d0780b516ed8a7bad8766ae4ee49d2cf8c278f95d,
2025-10-26T19:37:47.566379,"Before manufacturing blood components, what infectious disease testing is mandatory according to TGO 102?",6,201,6770,6971,Unclear,0.0,1,6a907d982208746cede64c62d80fbf4912d9eb73266caad260a9ed989dffe9f8,
2025-10-26T19:37:57.103835,"Before manufacturing blood components, what infectious disease testing is mandatory according to TGO 102?",6,167,9363,9530,Unclear,0.0,2,bcd4641b15862257a3f534a0cdbac92ea419dfdaedce831ca6e600b7b3cbe681,
2025-10-26T19:38:06.402155,Is a donor who stayed in the UK for >6 months between 1980–1996 eligible for blood component manufacture?,6,208,9060,9269,Non-Compliant,0.8,1,8f7fa6f60673b31da1bfaef4563a7134124c0732e3dfea4e82dafbd56c747b31,
2025-10-26T19:38:13.592731,Is a donor who stayed in the UK for >6 months between 1980–1996 eligible for blood component manufacture?,6,164,6996,7161,Non-Compliant,0.8,1,521bf65549ab7bc8236751ce021393c06fb100fe4c1462044ff3b76c4ca0ef92,
2025-10-26T19:38:33.495295,Is a donor who stayed in the UK for >6 months between 1980–1996 eligible for blood component manufacture?,6,188,19708,19897,Non-Compliant,0.8,2,a5e7413b11e1d881f5aa51c6cc8ee60878b72b1ce1cb2ff81fcfd17fe93b26e7,
2025-10-26T19:38:41.238423,Can conformance to the former blood components order be used during the transition period for TGO 102?,6,200,7522,7722,Compliant,0.9,1,e2a561bf85955ae91bba56ca2bc2b854a06c105460926c06726f91627033f198,
2025-10-26T19:38:47.696426,Can conformance to the former blood components order be used during the transition period for TGO 102?,6,178,6249,6428,Compliant,1.0,1,1dfa1f985936aaee4beb3db5f8b2814b1699ac6d6b79a3fed1c1d631e94f7d6c,
2025-10-26T19:38:55.555626,Can conformance to the former blood components order be used during the transition period for TGO 102?,6,177,7675,7853,Compliant,1.0,1,319da298dcb555a2a0698817103ff70ee4aa2eaec1d89799d91d4d697765d2b9,
2025-10-26T19:39:09.972455,What basic label legibility and language rules apply to biologicals and HCT materials?,6,159,14236,14396,Unclear,0.0,3,507d3c36d72c5ba98544db2080f41d25c83966ba702fdb024ec153cb6929bb62,
2025-10-26T19:39:36.458555,What basic label legibility and language rules apply to biologicals and HCT materials?,6,174,26293,26468,Unclear,0.0,3,b39075a3728cfb85461fc3e8160f355c048a4a8570918d4132acbdc72491494c,
2025-10-26T19:39:53.188958,What basic label legibility and language rules apply to biologicals and HCT materials?,6,196,16528,16724,Unclear,0.0,3,8f3444144cb200b8d2fbd84563879eaa73b805f53d529811296ff918bf74129f,
2025-10-26T19:40:00.780817,Must the container be labelled to ensure donor traceability at each step of manufacture?,6,201,7361,7563,Compliant,1.0,1,ada78bbbb3fc96a4523d581b6f3faad4cbf2fd1e639e8dafc642cca1ecc0ad4e,
2025-10-26T19:40:13.372551,Must the container be labelled to ensure donor traceability at each step of manufacture?,6,228,12356,12584,Compliant,1.0,1,269edd66a6fda951dfbd5df8b532d9514d0038c7c96838053445ed07b9467526,
2025-10-26T19:40:20.754634,Must the container be labelled to ensure donor traceability at each step of manufacture?,6,197,7164,7362,Compliant,1.0,1,481addf8b213bb6f056c200a5e809a721489d1b95fb1183d8d1575e484925678,
2025-10-26T19:40:27.718711,"If there isn’t enough space on a sterile container label, where can required info be placed?",6,171,6786,6958,Compliant,0.9,1,e5dbc539b552fcee48dcda70e0e467f78b597be6bb72c790f6356111a5b02565,
2025-10-26T19:40:44.914300,"Before manufacturing blood components, what infectious disease testing is mandatory according to TGO 102?",6,215,6108,6324,Unclear,0.0,1,b85a0eedd35e699299d56c5355a6cb08785d9d0475a4d3d4fea757eefc21f452,
2025-10-26T19:40:53.993338,"Before manufacturing blood components, what infectious disease testing is mandatory according to TGO 102?",6,180,8877,9058,Unclear,0.0,2,927000317b00af37011a38f373100a54e107afb189b36ff06c6bcac66513da58,
2025-10-26T19:41:00.243473,"Before manufacturing blood components, what infectious disease testing is mandatory according to TGO 102?",6,214,6029,6244,Unclear,0.0,1,f1e5aef9bf702d193e8db360d8da449b014c6ba137213cd469d51f662259018c,
2025-10-26T19:41:08.628790,Is a donor who stayed in the UK for >6 months between 1980–1996 eligible for blood component manufacture?,6,198,8178,8377,Non-Compliant,0.8,1,d5568729715716125924cc7edc03aa2ad3e6ee163e5ab72316fe7eab1e5afd69,
2025-10-26T19:41:20.323246,Is a donor who stayed in the UK for >6 months between 1980–1996 eligible for blood component manufacture?,6,226,11438,11666,Non-Compliant,0.8,2,964b5f0face42c8198234a19d2ca4bb5bb614a6d6fd5fab4afadb06258934392,
2025-10-26T19:42:06.538676,"Before manufacturing blood components, what infectious disease testing is mandatory according to TGO 102?",6,238,7971,8209,Unclear,0.0,1,a95bde9ab0932c8d0fc7564d7d165705adcff77241a1f16bd454c57e0cb1d0a5,
2025-10-26T19:42:12.409889,"Before manufacturing blood components, what infectious disease testing is mandatory according to TGO 102?",6,195,5644,5840,Unclear,0.0,1,f1bae9efe2271a550f04f012b6e725952228e88e48e328ae41569607290339a2,
2025-10-26T19:42:22.502412,"Before manufacturing blood components, what infectious disease testing is mandatory according to TGO 102?",6,217,9867,10086,Unclear,0.0,2,23e56ed327e8390c0fb5d0ad8cd10a7372236a35103a900ce193d877f96daada,
2025-10-26T19:42:34.367622,Is a donor who stayed in the UK for >6 months between 1980–1996 eligible for blood component manufacture?,6,236,11594,11831,Non-Compliant,0.8,2,0788730b365527c769809f698c2ffd1a0dab0b4cbe3373be0c39aa5841660e86,
2025-10-26T19:42:45.828799,Is a donor who stayed in the UK for >6 months between 1980–1996 eligible for blood component manufacture?,6,854,10589,11444,Non-Compliant,0.8,2,17c6da7fc186b8a989c3fdd118cdb4f41ff27ef66c76974c46269a74506f1687,
2025-10-26T19:42:53.937486,Is a donor who stayed in the UK for >6 months between 1980–1996 eligible for blood component manufacture?,6,213,7885,8099,Non-Compliant,0.8,1,59fe0a8dc4a312d9df80213841c601b914f0b8b66793135cee1c9e0dac369b99,
2025-10-26T19:43:01.442594,Can conformance to the former blood components order be used during the transition period for TGO 102?,6,191,7304,7496,Compliant,0.9,1,d39fbd7efcf4589352a69e91adfec0e4fa0771809690f5cf676ecc4067e44dea,
2025-10-26T19:43:11.544545,Can conformance to the former blood components order be used during the transition period for TGO 102?,6,473,9617,10090,Compliant,1.0,1,eb354841fcdbb913846267a12e568abf5c1f5559ac92330f76d46a68e774837c,
2025-10-26T19:43:17.282453,Can conformance to the former blood components order be used during the transition period for TGO 102?,6,169,5561,5731,Compliant,1.0,1,e936954606f82de482b01c3d9dedbc305856b95cb0e21240c2097782fca512ac,
